Record #,ID,DOI,Strain,Titer,Product,Type,Substrate,Comment
2770,2579,10.1007/s10532-016-9771-8,NULL,NULL,NULL,NULL,,
2777,2586,10.1186/s13068-016-0647-2,Yarrowia lipolytica,167 mg/L,fatty alcohol,Alcohol,NULL,
2785,2586,10.1186/s13068-016-0647-2,Lipomyces starkeyi,770 mg/L,fatty alcohol,Alcohol,NULL,
2793,2594,10.1186/s13068-016-0626-7,Yarrowia lipolytica,23.56 mg/L,limonene,Isoprenoid,NULL,
2794,2595,10.1021/acs.jafc.6b01523,NULL,NULL,NULL,NULL,,
2798,2599,10.1016/j.ces.2016.06.014,Saccharomyces cerevisiae,304.49 mg/L,squalene,Isoprenoid,NULL,
2805,2606,10.1002/bit.25978,Escherichia coli,5.1 g/L,acetone,Other,NULL,
2806,2607,10.1002/bit.25988,Mannheimia succiniciproducens,90.68 g/L,succinic acid,Acid,glucose,
2808,2609,10.1021/acssynbio.6b00032,NULL,NULL,NULL,NULL,,
2818,2619,10.1128/AEM.01994-16,-,-,-,-,,-
50493,2619,10.1128/AEM.01994-16,,,,,,
2820,2621,10.1016/j.biortech.2016.06.091,-,-,-,-,,-
50494,2621,10.1016/j.biortech.2016.06.091,,,,,,
2822,2623,10.1016/j.biortech.2016.07.018,NULL,NULL,NULL,NULL,,
2823,2624,10.1016/j.biortech.2016.07.060,Clostridium acetobutylicum,55.7 g/L,butanol,Alcohol,NULL,
2824,2625,10.1016/j.biortech.2016.07.066,Escherichia coli,525.8 mg/L,pino,Alkaloid,glucose,
2825,2626,10.1016/j.ibiod.2016.05.016,-,-,-,-,,-
50495,2626,10.1016/j.ibiod.2016.05.016,NULL,NULL,NULL,NULL,,
2826,2627,10.1016/j.ibiod.2016.06.016,NULL,NULL,NULL,NULL,,
2830,2631,10.1186/s12934-016-0562-z,Escherichia coli,22.6 mg/L,resveratrol,Polyketide,glycerol,
2842,2643,10.1038/srep32640,E. coli,67.81 mg/L,pinocembrin,Alkaloid,NULL,
2850,2651,10.1016/j.jbiosc.2016.02.009,Escherichia coli,25.10 g/L,xylitol,Alcohol,arabitol,
2856,2657,10.1007/s10482-016-0719-0,Corynebacterium glutamicum,6.85 g/L,methionine,Amino Acid,glucose,
2864,2665,10.1111/pbi.12539,NULL,NULL,piceatannol,NULL,,
2871,2672,10.1007/s00253-016-7510-z,Synechococcus elongatus,8.7 g L-1,sucrose,Other,NULL,
2883,2684,10.1016/j.ymben.2016.04.001,NULL,NULL,NULL,NULL,,
2887,2688,10.1186/s13068-016-0597-8,Yarrowia lipolytica,160 g L-1,succinic acid,Acid,glycerol,
2888,2689,10.1186/s13068-016-0593-z,NULL,NULL,NULL,NULL,,
2903,2704,10.1016/j.jbiotec.2016.05.032,Bacillus subtilis,0.41 g/L,inosine,Other,NULL,
2905,2706,10.1016/j.jbiotec.2016.06.007,Unspecified,432.4 mg/L,pinocembrin,Alkaloid,glucose,
50496,2720,10.1002/yea.3175,Hansenula polymorpha,5.0g/l,ethanol,Alcohol,,
2919,2720,10.1002/yea.3175,-,-,-,-,,-
2925,2726,10.1016/j.watres.2016.04.063,NULL,NULL,NULL,NULL,,
2928,2729,10.1111/pbi.12536,Synechococcus elongatus,22.48mg/L,acetone,Other,carbon dioxide,
2930,2731,10.1007/s11274-016-2080-x,Klebsiella pneumoniae,422 g/L,gluconic acid,Acid,glucose,
2931,2732,10.1016/j.biortech.2016.02.118,NULL,NULL,NULL,NULL,,
2937,2738,10.1186/s12934-016-0524-5,Escherichia coli,6.33 g/L,fatty alcohol,Alcohol,NULL,
2941,2742,10.1016/j.jbiotec.2016.05.011,Corynebacterium glutamicum,31 g/L,xylitol,Alcohol,glucose,
2945,2746,10.1038/srep29745,Escherichia coli,13.15 g/L,shikimic acid,Other,glucose,
2950,2751,10.1021/acs.est.5b04716,NULL,NULL,NULL,NULL,,
2954,2755,10.1016/j.jbiosc.2015.12.022,Saccharomyces cerevisiae,96 mg/L,2-Phenylethanol,Other,glucose,
2957,2758,10.1016/j.biortech.2016.04.020,Escherichia coli,26.1 g/L,"1,3-Propanediol",Alcohol,glycerol,
2959,2760,10.1002/elsc.201500161,Yarrowia lipolytica,36.4 g/L,citric acid,Acid,NULL,
2974,2775,10.1016/j.ymben.2016.02.010,NULL,NULL,NULL,NULL,,
2976,2777,10.1016/j.ymben.2016.02.009,Saccharomyces cerevisiae,1.6 g/L,triacetic acid lactone,Polyketide,glucose,
2977,2778,10.1016/j.ymben.2016.03.005,Escherichia coli,3.2 g/L,crotonic acid,Acid,NULL,Test
2984,2785,10.1002/bit.25927,Escherichia coli,89.4g/L,succinate,Acid,NULL,
2992,2793,10.1016/j.biortech.2016.03.096,NULL,NULL,NULL,NULL,,
2999,2800,10.1016/j.bej.2016.02.014,NULL,NULL,NULL,NULL,,
3005,2806,10.1186/s12934-016-0495-6,Ralstonia eutropha,33.70 g/L,PHB,Polymer,lignocellulosic hydrolysate,
3006,2807,10.1186/s12934-016-0494-7,Bacillus subtilis,115.2 mg/L,guanosine,Other,NULL,
3009,2807,10.1186/s12934-016-0494-7,Bacillus subtilis,151.2 mg/L,thymidine,Other,NULL,
3012,2810,10.1186/s13068-016-0528-8,Clostridium thermocellum,22.4 g/L,ethanol,Alcohol,cellulose,
3016,2814,10.1631/jzus.B1500317,NULL,NULL,NULL,NULL,,
3020,2818,10.1007/s10295-016-1763-5,Corynebacterium glutamicum,4.85 g/L,L-threonine,Amino Acid,NULL,
3030,2818,10.1007/s10295-016-1763-5,Corynebacterium glutamicum,3.53 g/L,L-isoleucine,Amino Acid,NULL,
50497,2823,10.1128/AEM.00802-16,Amycolatopsis sp,22.3 g/l,vanillin,NULL,ferulic acid,
3025,2823,10.1128/AEM.00802-16,-,-,-,-,,-
3035,2823,10.1128/AEM.00802-16,-,-,-,-,,-
3040,2828,10.1002/bit.25902,Propionibacterium jensenii,10.81g/L,propionate,Acid,glycerol,
3042,2830,10.1016/j.biortech.2016.02.124,Saccharomyces cerevisiae,50 g/L,ethanol,Alcohol,lignocellulosic hydrolysate,
3045,2833,10.1186/s13068-016-0523-0,NULL,NULL,NULL,NULL,,
3046,2834,10.1186/s12934-016-0485-8,Saccharomyces cerevisiae,215 mg/L,aminobenzoic acid,Other,glycerol and ethanol,
3049,2837,10.1186/s13068-016-0512-3,Yarrowia lipolytica,636.89 mg/L,hexadecanol,Alcohol,NULL,
6437,2841,10.1186/s12896-016-0272-y,Gluconobacter oxydans,162g/L,5-keto-D-gluconate,Acid,glucose,
3053,2842,10.1016/j.bej.2015.12.018,NULL,NULL,NULL,NULL,,
3066,2855,10.2166/wst.2016.080,NULL,NULL,NULL,NULL,,
3067,2856,10.1007/s12161-015-0276-6,NULL,NULL,NULL,NULL,,
3080,2869,10.1002/biot.201500143,Saccharomyces cerevisiae,14.50 mg/L,melatonin,Other,glucose,
3082,2871,10.1038/ncomms11709,-,-,-,-,,-
50498,2871,10.1038/ncomms11709,Saccharomyces cerevisiae,10.4 gl(-1),fatty acid,Acid,ethanol,
3084,2873,10.1016/j.procbio.2016.02.010,NULL,NULL,NULL,NULL,,
3087,2876,10.1007/s12223-015-0425-8,NULL,NULL,NULL,NULL,,
3092,2881,10.1007/s11274-016-2043-2,-,-,-,-,,-
50499,2881,10.1007/s11274-016-2043-2,,,ethanol,Alcohol,,
3093,2882,10.1016/j.biortech.2016.02.009,NULL,NULL,NULL,NULL,,
3095,2884,10.1016/j.ijbiomac.2016.01.103,-,-,-,-,,-
50500,2884,10.1016/j.ijbiomac.2016.01.103,Lactobacillus casei,,,,,
3098,2887,10.1002/bit.25864,Rhodosporidium toruloides,16.4g/L,lipid,Other,glucose,
3100,2889,10.1016/j.ymben.2015.09.012,Escherichia coli,57 mg L-1,dihomo-methionine,Special AA,NULL,
3105,2894,10.1016/j.ymben.2016.01.002,-,-,-,-,,-
50501,2894,10.1016/j.ymben.2016.01.002,Escherichia coli,545 mg l(-1),gastrodin,Other,,
3110,2899,10.1186/s12918-016-0276-1,NULL,NULL,NULL,NULL,,
3116,2905,10.1038/srep24239,NULL,NULL,NULL,NULL,,
3129,2918,10.1007/s11627-015-9744-3,NULL,NULL,NULL,NULL,,
3132,2921,10.1002/biot.201500351,E. coli,210.4 mg/L,6-deoxyerythronolide,Other,NULL,
50502,2938,10.1002/bit.25856,Saccharomyces cerevisiae,,,,,
3149,2938,10.1002/bit.25856,-,-,-,-,,-
3153,2942,10.1007/s10295-015-1725-3,Escherichia coli,29.9 mg/L,pinocembrin,Alkaloid,NULL,
3157,2946,10.1016/j.jtice.2015.12.026,B. subtilis,25.62 g/L,gamma-polyglutamic acid,Other,NULL,
3159,2948,10.1002/jctb.4680,NULL,NULL,NULL,NULL,,
50503,2949,10.1007/s11306-016-0996-7,Lactobacillus rhamnosus,,,,glucose,
3160,2949,10.1007/s11306-016-0996-7,-,-,-,-,,-
3172,2961,10.1073/pnas.1515826113,Escherichia coli,570mg/L,taxane,Isoprenoid,NULL,
50504,2964,10.1093/nar/gkw055,Rhodococcus opacus,,,,,
3175,2964,10.1093/nar/gkw055,-,-,-,-,,-
3176,2965,10.1186/s13068-016-0467-4,Escherichia coli,6.1 g/L,n-butanol,Alcohol,glucose,
3179,2968,10.1186/s12934-016-0451-5,Saccharomyces cerevisiae,9.8 g/L,3-hydroxypropionic acid,Acid,glucose,
3188,2977,10.1186/s12896-016-0257-x,Escherichia coli,548 mg/L,hydroxy fatty acid,Acid,glucose,
3189,2978,10.1186/s12934-016-0446-2,NULL,NULL,NULL,NULL,,
3195,2984,10.1016/j.jes.2015.04.035,NULL,NULL,NULL,NULL,,
3204,2993,10.1007/s11356-015-5821-8,NULL,NULL,NULL,NULL,,
3206,2995,10.1016/j.biortech.2015.12.042,Aspergillus niger,76.67 g/L,gluconic acid,Acid,lignocellulosic hydrolysate,
3214,3003,10.1007/s00253-015-7078-z,Methylobacterium extorquens,2.22 g/L,mevalonate,Other,methanol,
3219,3008,10.1007/s00253-015-7148-2,Actinosynnema pretiosum,168 mg/L,ansamitocin P-3,Polyketide,NULL,
3220,3009,10.1007/s00253-015-7164-2,Bacillus subtilis,75.73 g/L,"2,3-butanediol",Alcohol,glucose,
3221,3010,10.1007/s00253-015-7237-2,Klebsiella pneumoniae,76.8 g/L,"1,3-propanediol",Alcohol,NULL,
50505,3019,10.1007/s13213-015-1133-y,S. carnosus,,,,,
3230,3019,10.1007/s13213-015-1133-y,-,-,-,-,,-
3232,3021,10.1016/j.ymben.2015.12.005,Saccharomyces cerevisiae,387.4 mg/L,short branched-chain fatty acids,Acid,,
3234,3023,10.1016/j.ymben.2015.12.004,Escherichia coli,40 g/L,glycolate,Acid,,
3237,3025,10.1002/bit.25815,NULL,NULL,NULL,NULL,,
6451,3026,10.1016/j.synbio.2016.02.002,,53.2mg/L,thailanstatin A,Other,,
6453,3026,10.1016/j.synbio.2016.02.002,Burkholderia thailandensis,144.7mg/L,thailanstatin A,Other,,
3238,3027,10.1016/j.synbio.2016.01.006,NULL,NULL,NULL,NULL,,
3239,3028,10.1186/s12934-016-0440-8,Saccharomyces cerevisiae,21.2 mg L-1,beta-hydroxy-manoyl oxide,Isoprenoid,,
3248,3037,10.1080/10826068.2014.995812,Chlorella vulgaris,0.86 g/L,lipid,Other,,
3259,3048,10.1186/s13068-016-0425-1,Actinobacillus succinogenes,42.8 g/L,succinate,Acid,,
3261,3050,10.1016/j.biortech.2015.11.067,Paenibacillus polymyxa,51.3 g/L,"2,3-butanediol",Alcohol,,
50506,3061,10.1007/s10529-015-1969-z,,,,,,
3272,3061,10.1007/s10529-015-1969-z,-,-,-,-,,-
3288,3077,10.1007/s00253-015-7167-z,NULL,NULL,NULL,NULL,,
3292,3081,10.1186/s12934-016-0423-9,Saccharomyces cerevisiae,1.2 g/L,1-hexadecanol,Alcohol,,
3293,3082,10.1016/j.chemosphere.2015.08.073,NULL,NULL,NULL,NULL,,
3294,3083,10.1016/j.chemosphere.2015.10.059,NULL,NULL,NULL,NULL,,
3303,3092,10.1186/s12896-016-0236-2,E. coli,620 mg/L,isoprene,Other,,
3309,3098,10.1186/s12934-015-0406-2,Clostridium cellulolyticum,120 mg/L,butanol,Alcohol,,
3310,3099,10.1371/journal.pone.0146773,Yarrowia lipolytica,453 mg/L,campesterol,Isoprenoid,,
3326,3115,10.1002/bit.25683,Saccharomyces cerevisiae,170mg/L,farnesene,Isoprenoid,,
3329,3118,10.1007/s10295-015-1712-8,Escherichia coli,1.08 g/L,gamma-aminobutyric acid,Special AA,,
3347,3136,10.1080/00986445.2016.1188293,Escherichia coli,7.3 g/L,acetylneuraminic acid,Other,,
3357,3146,10.1615/InJMedMushrooms.v18.i6.50,Trametes versicolor,5.9 g/L,polysaccharide,Polymer,,
3362,3151,10.1016/j.proeng.2016.06.684,NULL,NULL,NULL,NULL,,
3368,3157,10.1007/s13197-015-2030-x,-,-,-,-,,-
50507,3157,10.1007/s13197-015-2030-x,,,,,,
3373,3162,10.1007/s10529-015-1945-7,-,-,-,-,,-
50508,3162,10.1007/s10529-015-1945-7,Escherichia coli,130 mg l(-1),rosmarinic acid,Acid,,
3377,3166,10.1002/bab.1343,Bacillus species,12.3g/L,butanol,Alcohol,,
3380,3169,10.1016/j.ymben.2015.11.003,NULL,NULL,NULL,NULL,,
3387,3176,10.1002/btpr.2180,Thermobifida fusca,62.76 g/L,malate,Acid,,
3388,3177,10.1002/btpr.2189,Yarrowia lipolytica,0.8 g L-1,fatty acid,Acid,,
3393,3182,10.1007/s00253-015-7016-0,Lactobacillus plantarum,61.4 g L-1,D-lactic acid,Acid,,
3394,3183,10.1007/s00253-015-6996-0,NULL,NULL,NULL,NULL,,
3395,3184,10.1007/s00253-015-7013-3,Escherichia coli,30.5 g/L,"2,3-butanediol",Alcohol,,
3396,3184,10.1007/s00253-015-7013-3,Escherichia coli,3.2 g/L,acetoin,Other,,
3397,3185,10.1007/s00253-015-7026-y,Escherichia coli,255.6 mg/L,alkane,Other,,
3399,3187,10.1016/j.pestbp.2015.07.001,-,-,-,-,,-
50509,3187,10.1016/j.pestbp.2015.07.001,,,,,hydrol,
3418,3206,10.1016/j.ymben.2015.11.002,Colynebacterium glutamicum,2.38 g/L,fatty acid,Acid,,
3435,3223,10.1186/s12934-015-0395-1,Escherichia coli,135 mg/L,3-methylxanthine,NULL,,
3439,3227,10.1016/j.jbiotec.2015.10.022,Thermobifida fusca,33.2 g/L,butyrate,Acid,,
3441,3229,10.1016/j.indcrop.2015.07.045,NULL,NULL,NULL,NULL,,
3446,3234,10.1016/j.biortech.2015.09.031,NULL,NULL,NULL,NULL,,
3453,3241,10.1016/j.biortech.2015.08.086,Klebsiella pneumoniae,1030 mg/L,2-butanol,Alcohol,,
3461,3249,10.1556/030.62.2015.4.10,NULL,NULL,NULL,NULL,,
3463,3251,10.1016/j.procbio.2015.09.023,Unspecified,56 g L-1,succinic acid,Acid,,
3464,3252,10.1016/j.procbio.2015.09.027,Stachybotrys longispora,9.6 g/L,fungi fibrinolytic compound 1,Other,,
3479,3267,10.3389/fmicb.2015.01310,Pseudomonas putida,1.54 g/L,aminobenzoic acid,Other,,
3483,3271,10.1186/s12934-015-0369-3,Escherichia coli,35.92 g/L,PHB,Polymer,,
3485,3273,10.1186/s12934-015-0364-8,Corynebacterium glutamicum,1.79 g/L,aminolevulinic acid,Acid,,
3493,3281,10.1021/acs.jafc.5b04162,Escherichia coli,105 g/L,D-lactate,Acid,,
3497,3285,10.1016/j.biortech.2015.07.092,Pseudomonas taetrolens,78 g/L,lactobionic acid,Acid,,
3501,3285,10.1016/j.biortech.2015.07.092,Pseudomonas taetrolens,8.8 g/L,gluconic acid,Acid,,
50510,3286,10.1016/j.biortech.2015.07.108,,,,,,
3498,3286,10.1016/j.biortech.2015.07.108,-,-,-,-,,-
3502,3286,10.1016/j.biortech.2015.07.108,-,-,-,-,,-
3505,3289,10.1016/j.biortech.2015.07.104,Rhizopus oryzae,25.5 g/L,fumaric acid,Acid,,
3523,3307,10.1016/j.ymben.2015.08.005,Escherichia coli,0.12 g/L,acrylic acid,Acid,,
3524,3308,10.1016/j.ymben.2015.09.002,Clostridium thermocellum,14.1 mM,ethanol,Alcohol,,
3525,3309,10.1016/j.ymben.2015.09.005,Yarrowia lipolytica,4.6 g/L,itaconic acid,Acid,,
3526,3310,10.1016/j.ymben.2015.09.004,Methylobacterium extorquens,1.65 g/L,alpha-humulene,Isoprenoid,,
3527,3311,10.1016/j.ymben.2015.09.011,Bacillus amyloliquefaciens,20.3 g/L,gamma-polyglutamic acid,Acid,,
3530,3314,10.1016/j.ymben.2015.09.015,Escherichia coli,82g/L,"2,3-butanediol",Alcohol,,
3544,3328,10.1186/s12934-015-0362-x,Corynebacterium glutamicum,6.3 g L-1,"2,3-butanediol",Alcohol,,
50511,3334,10.1016/j.jbiotec.2015.08.019,Monascus pigments,,,,,
3550,3334,10.1016/j.jbiotec.2015.08.019,-,-,-,-,,-
3551,3335,10.1186/s12934-015-0355-9,NULL,NULL,NULL,NULL,,
3558,3342,10.1186/s13068-015-0351-7,Clostridium sp,17.8 g/L,butanol,Alcohol,,
3569,3353,10.1002/elsc.201500040,NULL,NULL,NULL,NULL,,
50512,3358,10.1016/j.ibiod.2015.05.019,S.,,,,glucose,
3574,3358,10.1016/j.ibiod.2015.05.019,-,-,-,-,,-
3591,3375,10.1002/aic.14950,Saccharomyces cerevisiae,138.80 mg/L,b-amyrin,Isoprenoid,,
3593,3377,10.1016/j.biortech.2015.06.130,NULL,NULL,NULL,NULL,,
3599,3383,10.1016/j.carbpol.2015.04.033,Alcaligenes sp,41.0 g/L,welan gum,Other,,
3602,3386,10.1186/s12934-015-0332-3,Saccharomyces cerevisiae,1.8 mg/L,canadine,Alkaloid,,
3605,3389,10.1186/s12934-015-0319-0,NULL,NULL,NULL,NULL,,
3610,3394,10.1371/journal.pone.0138109,Klebsiella oxytoca,142.5 g/L,"2,3-butanediol",Alcohol,,
3615,3399,10.1038/srep13814,Bacillus amyloliquefaciens,15.3 g/L,levan,Polymer,,
3626,3410,10.1007/s11705-015-1525-3,Clostridium tyrobutyricum,63.02 g/L,butyrate,Acid,,
3630,3414,10.5511/plantbiotechnology.15.0605a,-,-,-,-,,-
50513,3414,10.5511/plantbiotechnology.15.0605a,,,,,,
3641,3425,10.4014/jmb.1503.03011,-,-,-,-,,-
50514,3425,10.4014/jmb.1503.03011,,,apigenin,Alkaloid,coumaric acid,
3642,3426,10.1038/ncomms9224,-,-,-,-,,-
50515,3426,10.1038/ncomms9224,Saccharomyces cerevisiae,5.1 g l(-1),l-ornithine,Special AA,glucose,
3644,3428,10.1128/AEM.01448-15,-,-,-,-,,-
50516,3428,10.1128/AEM.01448-15,Escherichia coli,350 mg/l,3-O-glucoside,Other,glucose,
3645,3429,10.1007/s11103-015-0355-5,NULL,NULL,NULL,NULL,,
3654,3435,10.1016/j.ymben.2015.06.010,Saccharomyces cerevisiae,19.2 mu g/L,reticuline,Alkaloid,,
3657,3438,10.1016/j.ymben.2015.08.002,Synechococcus elongatus,665 mg/L,3-hydroxypropionic acid,Acid,,
3658,3439,10.1016/j.ymben.2015.08.003,Saccharomyces cerevisiae,1.93 g/L,p-coumaric acid,Acid,,
3668,3449,10.1038/srep13477,Escherichia coli,421.6 mg/L,naringenin,Alkaloid,,
50517,3453,10.1007/s00253-015-6752-5,Rhodococcus opacus,0.31 g/l,lipid,Other,,
3672,3453,10.1007/s00253-015-6752-5,-,-,-,-,,-
3678,3459,10.1002/bit.25592,E. coli,21.7 mg/L,perillyl acetate,Isoprenoid,,
3684,3465,10.1038/srep13200,Escherichia coli,511.11 mM,succinate,Acid,,
3687,3468,10.1186/s12934-015-0309-2,Escherichia coli,49 mg/L,p-coumaraldehyde,Other,,
3693,3468,10.1186/s12934-015-0309-2,Escherichia coli,19 mg/L,caffealdehyde,Other,,
3699,3468,10.1186/s12934-015-0309-2,Escherichia coli,35 mg/L,coniferaldehyde,Other,,
3705,3474,10.1002/bit.25584,Pyrococcus furiosus,276mg/L,3-hydroxypropionate,Acid,,
50518,3480,10.1007/s10529-015-1840-2,Saccharomyces cerevisiae,39.6 g l(-1),ethanol,Alcohol,,
3711,3480,10.1007/s10529-015-1840-2,-,-,-,-,,-
3712,3481,10.1002/biot.201400577,Bacillus subtilis,43.3 g L-1,acetoin,,,
3714,3483,10.1007/s00449-015-1403-x,NULL,NULL,NULL,NULL,,
50519,3487,10.1128/AEM.01025-15,,,,,,
3718,3487,10.1128/AEM.01025-15,-,-,-,-,,-
50520,3495,10.1007/s10295-015-1642-5,Escherichia coli,7.08 g/L,indigoidine,Other,,
3726,3495,10.1007/s10295-015-1642-5,-,-,-,-,,-
3728,3497,10.1186/s13068-015-0291-2,E. coli,8.68 g/L,isobutanol,Alcohol,,
3730,3499,10.1007/s00253-015-6557-6,Escherichia coli,4 mg L-1,bli alpha,Other,,
3735,3499,10.1007/s00253-015-6557-6,Escherichia coli,6 mg L-1,bli beta,Other,,
3740,3504,10.1002/bit.25573,Rhodobacter capsulatus,110mg/L,botryococcene,Isoprenoid,,
50521,3509,10.1007/s10529-015-1844-y,S.,,,,,
3745,3509,10.1007/s10529-015-1844-y,-,-,-,-,,-
3757,3521,10.1016/j.biortech.2015.03.101,Streptomyces albulus,29.4 g/L,e-poly-L-lysine,Polymer,,
3759,3521,10.1016/j.biortech.2015.03.101,Streptomyces albulus,9.6 g L-1,L-poly-diaminopropionic acid,Polymer,,
3761,3523,10.1007/s13197-014-1471-y,NULL,NULL,NULL,NULL,,
6455,3542,10.1016/j.ymben.2015.04.004,Klebsiella oxytoca,117.4 g/L,"2,3-butanediol",Alcohol,,
3780,3543,10.1016/j.ymben.2015.04.001,NULL,NULL,NULL,NULL,,
3781,3544,10.1016/j.ymben.2015.04.009,Saccharomyces cerevisiae,1.61 g/L,lycopene,Isoprenoid,,
3782,3545,10.1016/j.ymben.2015.05.001,Saccharornyces cerevisine,676 mu g/L,stylopine,Alkaloid,,
3795,3545,10.1016/j.ymben.2015.05.001,Saccharornyces cerevisine,548 mu g/L,cis-N-methylstylopine,Alkaloid,,
3808,3545,10.1016/j.ymben.2015.05.001,Saccharornyces cerevisine,252 mu g/L,protopine,Alkaloid,,
3821,3545,10.1016/j.ymben.2015.05.001,Saccharornyces cerevisine,80 mu g/L,sanguinarine,Alkaloid,,
3834,3558,10.1016/j.enzmictec.2015.04.009,Escherichia coli,12.72 g/L,lacto-N-tetraose,Other,,
3836,3558,10.1016/j.enzmictec.2015.04.009,Escherichia coli,13.7 g/L,lacto-N-triose,Other,,
3838,3560,10.1007/s10295-015-1627-4,Escherichia coli,11 g/L,propionate,Acid,,
3841,3563,10.1007/s10482-015-0476-5,Kluyveromyces marxianus,104.83 g/L,ethanol,Alcohol,,
3842,3564,10.1128/AEM.00208-15,-,-,-,-,,-
50522,3564,10.1128/AEM.00208-15,,,,,,
3847,3569,10.1002/jsfa.6908,NULL,NULL,NULL,NULL,,
3857,3579,10.1186/s12934-015-0274-9,Escherichia coli,52 mg/L,p-coumaryl alcohol,Alcohol,,
3858,3580,10.1038/srep11301,Unspecified,1829mg/L,violacein,Other,,
3871,3593,10.1007/s00449-015-1354-2,Streptomyces,54.70 g/L,e-poly-L-lysine,Polymer,,
3873,3595,10.1007/s11356-014-3997-y,NULL,NULL,NULL,NULL,,
3874,3596,10.1007/s00253-014-6297-z,-,-,-,-,,-
50523,3596,10.1007/s00253-014-6297-z,Arxula adeninivorans,9.74 g l(-1),phenylethanol,Alcohol,,
3880,3602,10.1111/1750-3841.12897,NULL,NULL,NULL,NULL,,
3881,3603,10.1007/s10532-015-9727-4,NULL,NULL,NULL,NULL,,
3882,3604,10.1007/s00253-015-6556-7,Escherichia coli,11.38 mmol/L,fumaric acid,Acid,,
3887,3609,10.1007/s00253-014-6281-7,NULL,NULL,NULL,NULL,,
3897,3619,10.1016/j.jbiotec.01.014,NULL,NULL,NULL,NULL,,
3899,3621,10.1186/s12934-015-0251-3,Bacillus megaterium,12.54 g/L,shikimic acid,Other,,
3901,3623,10.1016/j.ejbt.2015.02.002,Phaffia rhodozyma,20.4 mg/L,astaxanthin,Isoprenoid,,
3902,3624,10.1021/acs.jafc.5b01334,Escherichia coli,58.19 mg/L,myrcene,Isoprenoid,,
3911,3633,10.1007/s10295-015-1596-7,Saccharomyces cerevisiae,5.2 g/L,triacetic acid lactone,Polyketide,,
3921,3643,10.1007/s00253-014-6321-3,NULL,NULL,NULL,NULL,,
3932,3654,10.1016/j.ymben.2015.02.001,NULL,NULL,NULL,NULL,,
3933,3655,10.1016/j.ymben.2015.03.004,Corynebacterium glutamicum,51 g/L,L-valine,Amino Acid,,
3940,3662,10.1007/s00253-015-6463-y,Escherichia coli,201 mg/L,amorphadiene,Isoprenoid,,
3941,3663,10.1007/s00253-015-6475-7,NULL,NULL,NULL,NULL,,
6457,3672,10.1186/s13068-015-0231-1,Escherichia coli,473 mg/L,butanol,Alcohol,,
3950,3673,10.1016/j.molstruc.2014.12.025,NULL,NULL,NULL,NULL,,
6463,3678,10.1007/s12298-015-0290-6,-,-,-,-,,-
50524,3678,10.1007/s12298-015-0290-6,Agrobacterium tumefaciens,,,,,
3955,3678,10.1007/s12298-015-0290-6,-,-,-,-,,-
3962,3685,10.1007/s12649-014-9341-4,NULL,NULL,NULL,NULL,,
50525,3701,10.1007/s00253-015-6418-3,Methylobacterium extorquens,,,,ethanol,
3978,3701,10.1007/s00253-015-6418-3,-,-,-,-,,-
3980,3703,10.1007/s00253-015-6446-z,NULL,NULL,NULL,NULL,,
3982,3705,10.1007/s00253-014-6292-4,Clostridium butyricum,40 g/L,"1,3-propanediol",Alcohol,,
3983,3706,10.1007/s00253-015-6432-5,NULL,NULL,NULL,NULL,,
3985,3708,10.1016/j.biortech.2015.01.075,NULL,NULL,NULL,NULL,,
3986,3709,10.1002/bit.25488,Saccharomyces cerevisiae,117g/L,lactic acid,Acid,,
3990,3713,10.1002/bit.25491,NULL,NULL,NULL,NULL,,
4011,3734,10.1186/s12934-015-0220-x,Unspecified,350 mg/L,amorphadiene,Isoprenoid,,
4013,3736,10.1016/j.ejbt.2015.01.006,Clostridium butyricum,74 g/L,"1,3-propanediol",Alcohol,,
4015,3738,10.1186/s12896-015-0130-3,NULL,NULL,NULL,NULL,,
4016,3739,10.1038/srep09033,Enterobacter cloacae,1.45 g/L,diacetyl,Other,,
4017,3740,10.1186/s12934-015-0211-y,Escherichia coli,11.64 g/L,arginine,Amino Acid,,
4019,3742,10.1073/pnas.1419028112,Penicillium chrysogenum,6 g/L,pravastatin,Other,,
50526,3747,10.1007/s10529-014-1702-3,Clostridium acetobutylicum,,,,ethanol,
4024,3747,10.1007/s10529-014-1702-3,-,-,-,-,,-
4032,3755,10.1002/bab.1267,Sporolactobacillus sp,127 g/L,D-lactic acid,Acid,,
4038,3761,10.1007/s10295-015-1589-6,Unspecified,1.3 g/L,fatty acid,Acid,,
4039,3761,10.1007/s10295-015-1589-6,Unspecified,0.3 g/L,fatty alcohol,Alcohol,,
4040,3762,10.1016/j.ymben.2014.11.010,Enterobacter cloacae,152.0 g/L,"2,3-butanediol",Alcohol,,
4041,3763,10.1016/j.ymben.2014.11.006,Saccharomyces cerevisiae,2.2 g/L,fatty acid,Acid,,
4042,3764,10.1016/j.ymben.2014.12.004,Escherichia coli,140 mg/L,pentadecane,Other,,
4047,3769,10.1016/j.ymben.2015.01.007,Pseudomonas putida,0.8 g/L,hydroxy fatty acid,Acid,,
4054,3769,10.1016/j.ymben.2015.01.007,seudomonas putida,0.5 g/L,dicarboxyilic acid,Acid,,
4061,3776,10.1007/s00253-014-6266-6,Cupriavidus necator,3.2 g L-1,2-hydroxyisobutyric acid,Acid,,
